
prepperbot,2019-12-06 12:09:53,1202923112452501510x,b'RT @AngryVeteran_: How to on Leatherwork \n#leather #leatherwork #prepping #preppers #homesteading #howto #diy #homemade #handmade #artsyfar\xe2\x80\xa6'
tamihenrickson1,2019-12-06 12:04:26,1202921739094650882x,b'RT @tamihenrickson1: #BRINGemBACK #DogsMostWanted on @wgnamerica! We need more episodes and seasons of the number one tv show please! #Conf\xe2\x80\xa6'
tamihenrickson1,2019-12-06 12:02:02,1202921133797822464x,b'Thank you! I don\xe2\x80\x99t like seeing ppl say unkind things about @theRealJaneBond. They act as if Rainy did something to\xe2\x80\xa6 https://t.co/LsRgLGTDfR'
tamihenrickson1,2019-12-06 11:57:12,1202919918414352384x,b'RT @tamihenrickson1: Ready or not here she comes!!! We love you @theRealJaneBond! Your a strong and beautiful woman who has worked hard to\xe2\x80\xa6'
tamihenrickson1,2019-12-06 11:56:55,1202919846553407488x,b'RT @tamihenrickson1: You may need to enlarge this to see but it\xe2\x80\x99s Jack-Jacks Xmas list to Santa Clause. He still believes in Santa and I am\xe2\x80\xa6'
Robin51377722,2019-12-06 11:53:27,1202918975925112832x,b'RT @PamelaC120369: DEAR SANTA\xe2\x9c\xb4( @wgnamerica )\nALL WE WANT FOR CHRISTMAS IS A SEASON#2\nOF THE NUMBER 1 BEST NEW SHOW  IS #DogsMostWanted \nSO\xe2\x80\xa6'
AngryVeteran_,2019-12-06 11:52:02,1202918618176139267x,b'How to on Leatherwork \n#leather #leatherwork #prepping #preppers #homesteading #howto #diy #homemade #handmade\xe2\x80\xa6 https://t.co/s5Vluj6IfP'
NinaMar57629631,2019-12-06 11:51:59,1202918605417058304x,b'@sweetlas68 @OfficialDOGNews @tootlelOops @ClusterHeadTom Done #DOGPOUND #DogsMostWanted'
MoishesMom,2019-12-06 11:50:42,1202918283315437569x,b'RT @La_Primavera_GE: @La_Primavera_GE Do you want to cute #Senior be killed??? SAVE HIS LIFE!!!! #AdoptDontShop #adoptdontbuy #AdoptADog #a\xe2\x80\xa6'
La_Primavera_GE,2019-12-06 11:36:30,1202914710091423744x,b'@La_Primavera_GE Do you want to cute #Senior be killed??? SAVE HIS LIFE!!!! #AdoptDontShop #adoptdontbuy #AdoptADog\xe2\x80\xa6 https://t.co/inzuHBik7e'
tamihenrickson1,2019-12-06 11:33:52,1202914048167145472x,b'RT @tamihenrickson1: You can run but you can\xe2\x80\x99t hide! #DogsMostWanted on @wgnamerica is number one in my book! We love you all @DogBountyHun\xe2\x80\xa6'
tamihenrickson1,2019-12-06 11:33:38,1202913988641607682x,"b'RT @tamihenrickson1: More season\xe2\x80\x99s of Dog\xe2\x80\x99s Most Wanted Pls! Instead of \xe2\x80\x9call I want for Xmas is my 2 front teeth\xe2\x80\x9d I would like more, more a\xe2\x80\xa6'"
StaceyC66312896,2019-12-06 09:44:57,1202886638004604929x,b'RT @tamihenrickson1: You can run but you can\xe2\x80\x99t hide! #DogsMostWanted on @wgnamerica is number one in my book! We love you all @DogBountyHun\xe2\x80\xa6'
StaceyC66312896,2019-12-06 09:44:47,1202886595516325888x,b'RT @PamelaC120369: DEAR SANTA\xe2\x9c\xb4( @wgnamerica )\nALL WE WANT FOR CHRISTMAS IS A SEASON#2\nOF THE NUMBER 1 BEST NEW SHOW  IS #DogsMostWanted \nSO\xe2\x80\xa6'
tootlelOops,2019-12-06 09:40:20,1202885476442673153x,b'RT @unicorn0285: Oh my goodness #Dogpound.  I step away for a bit and the the rooftop comes tumbling down.  @theRealJaneBond sorry that the\xe2\x80\xa6'
unicorn0285,2019-12-06 08:51:51,1202873274860015616x,b'I know there is so much of off air busy work stuff you guys do for the fans of #DogsMostWanted &amp;\xe2\x80\xa6 https://t.co/G2acBGtbXg'
unicorn0285,2019-12-06 08:45:04,1202871567790878720x,b'Oh my goodness #Dogpound.  I step away for a bit and the the rooftop comes tumbling down.  @theRealJaneBond sorry t\xe2\x80\xa6 https://t.co/xyXrJFr4Vq'
